Date,INR
20-Nov-1995,34.82
21-Nov-1995,34.84
22-Nov-1995,34.84
23-Nov-1995,34.83
24-Nov-1995,34.87
27-Nov-1995,34.89
28-Nov-1995,34.94
29-Nov-1995,34.9
30-Nov-1995,34.94
1-Dec-1995,34.93
4-Dec-1995,34.92
5-Dec-1995,34.89
6-Dec-1995,34.83
7-Dec-1995,34.85
8-Dec-1995,34.86
11-Dec-1995,34.84
12-Dec-1995,34.89
13-Dec-1995,34.92
14-Dec-1995,34.97
15-Dec-1995,34.97
18-Dec-1995,34.98
19-Dec-1995,34.99
20-Dec-1995,34.99
21-Dec-1995,34.99
22-Dec-1995,34.98
26-Dec-1995,34.99
27-Dec-1995,35.09
28-Dec-1995,35.13
29-Dec-1995,35.18
2-Jan-1996,35.21
3-Jan-1996,35.24
4-Jan-1996,35.28
5-Jan-1996,35.39
8-Jan-1996,35.5
9-Jan-1996,35.87
10-Jan-1996,35.79
11-Jan-1996,35.8
12-Jan-1996,35.81
15-Jan-1996,35.79
16-Jan-1996,35.89
17-Jan-1996,35.88
18-Jan-1996,35.89
19-Jan-1996,35.9
22-Jan-1996,35.85
23-Jan-1996,35.83
24-Jan-1996,35.84
25-Jan-1996,35.88
26-Jan-1996,
29-Jan-1996,35.97
30-Jan-1996,35.99
31-Jan-1996,36.49
1-Feb-1996,36.52
2-Feb-1996,36.69
5-Feb-1996,
6-Feb-1996,37.94
7-Feb-1996,37.57
8-Feb-1996,37.34
9-Feb-1996,37
12-Feb-1996,36.98
13-Feb-1996,36.97
14-Feb-1996,36.61
15-Feb-1996,36.77
16-Feb-1996,36.65
19-Feb-1996,36.66
20-Feb-1996,36.56
21-Feb-1996,
22-Feb-1996,36.63
23-Feb-1996,36.57
26-Feb-1996,36.12
27-Feb-1996,35.66
28-Feb-1996,35.34
29-Feb-1996,35.03
1-Mar-1996,34.44
4-Mar-1996,34.43
5-Mar-1996,34.43
6-Mar-1996,34.17
7-Mar-1996,34.12
8-Mar-1996,34.05
11-Mar-1996,34.08
12-Mar-1996,34.09
13-Mar-1996,34.07
14-Mar-1996,34.12
15-Mar-1996,34.42
18-Mar-1996,34.56
19-Mar-1996,35.71
20-Mar-1996,35.71
21-Mar-1996,35.16
22-Mar-1996,34.55
25-Mar-1996,34.54
26-Mar-1996,34.13
27-Mar-1996,34.12
28-Mar-1996,34.12
29-Mar-1996,34.33
1-Apr-1996,
2-Apr-1996,34.33
3-Apr-1996,34.21
4-Apr-1996,34.15
5-Apr-1996,34.15
8-Apr-1996,34.15
9-Apr-1996,34.27
10-Apr-1996,34.21
11-Apr-1996,34.21
12-Apr-1996,34.3
15-Apr-1996,34.21
16-Apr-1996,34.24
17-Apr-1996,34.22
18-Apr-1996,34.23
19-Apr-1996,34.23
22-Apr-1996,34.25
23-Apr-1996,34.23
24-Apr-1996,34.21
25-Apr-1996,34.19
26-Apr-1996,34.28
29-Apr-1996,
30-Apr-1996,34.52
1-May-1996,
2-May-1996,34.55
3-May-1996,34.55
6-May-1996,34.5
7-May-1996,
8-May-1996,34.75
9-May-1996,34.95
10-May-1996,35.43
13-May-1996,35.35
14-May-1996,34.91
15-May-1996,34.87
16-May-1996,34.96
17-May-1996,35.2
20-May-1996,35
21-May-1996,35.05
22-May-1996,34.99
23-May-1996,35.01
24-May-1996,35.07
27-May-1996,35.14
28-May-1996,35.18
29-May-1996,35.18
30-May-1996,35.17
31-May-1996,35.09
3-Jun-1996,34.85
4-Jun-1996,34.87
5-Jun-1996,
6-Jun-1996,34.85
