iter	Passed	Remaining
143	253	1508
144	256	1513
145	258	1509
146	259	1505
147	261	1504
148	262	1499
149	264	1498
150	265	1494
151	267	1490
152	268	1486
153	270	1484
154	271	1482
155	273	1481
156	276	1485
157	278	1483
158	279	1480
159	281	1479
160	283	1476
161	284	1472
162	286	1469
163	287	1467
164	289	1466
165	292	1467
166	293	1464
167	295	1462
168	296	1459
169	298	1457
170	300	1454
171	301	1452
172	303	1450
173	306	1453
174	307	1451
175	309	1447
176	310	1444
177	312	1442
178	314	1440
179	315	1436
180	316	1433
181	318	1430
182	319	1428
183	322	1430
184	323	1426
185	325	1422
186	326	1419
187	327	1415
188	329	1412
189	330	1408
190	331	1402
191	332	1398
192	333	1395
193	335	1392
194	337	1393
195	338	1389
196	340	1386
197	341	1382
198	342	1379
199	343	1375
200	345	1372
201	346	1368
202	347	1365
203	349	1362
204	350	1359
205	352	1359
206	354	1356
207	355	1353
208	356	1350
209	357	1346
210	359	1343
211	360	1339
212	361	1336
213	362	1332
214	364	1329
215	365	1326
216	366	1324
217	369	1324
218	370	1321
219	371	1318
220	373	1315
221	374	1312
222	375	1309
223	377	1306
224	378	1305
225	380	1303
226	383	1306
227	385	1304
228	387	1303
229	389	1303
230	390	1300
231	392	1298
232	393	1295
233	395	1293
234	396	1290
235	398	1290
236	400	1287
237	401	1285
238	402	1282
239	403	1279
240	405	1276
241	406	1273
242	408	1271
243	409	1268
244	410	1265
245	412	1262
246	414	1263
247	415	1260
248	416	1257
249	418	1254
250	419	1251
251	421	1252
252	424	1253
253	425	1250
254	426	1247
255	428	1245
256	430	1243
257	431	1241
258	432	1238
259	434	1235
260	435	1233
261	436	1230
262	438	1227
263	439	1224
264	440	1222
265	441	1219
266	443	1216
267	445	1216
268	446	1213
269	447	1210
270	449	1208
271	450	1205
272	451	1202
273	452	1200
274	454	1197
275	455	1194
276	456	1192
277	458	1189
278	460	1189
279	461	1186
280	463	1184
281	464	1182
282	465	1179
283	466	1177
284	468	1174
285	469	1172
286	470	1169
287	472	1167
288	473	1164
289	475	1163
290	476	1161
291	477	1158
292	479	1156
293	480	1153
294	481	1151
295	483	1148
296	484	1146
297	485	1143
298	486	1140
299	487	1138
300	489	1135
301	491	1135
302	492	1133
303	493	1130
304	495	1128
305	496	1125
306	497	1123
307	498	1120
308	500	1118
309	501	1115
310	502	1113
311	503	1111
312	505	1110
313	507	1108
314	508	1105
315	509	1103
316	511	1101
317	512	1099
318	513	1096
319	515	1094
320	516	1092
321	517	1090
322	519	1088
323	521	1088
324	522	1086
325	524	1084
326	525	1082
327	527	1079
328	528	1077
329	529	1075
330	531	1073
331	532	1071
332	533	1068
333	534	1066
334	537	1066
335	538	1064
336	539	1062
337	541	1060
338	542	1057
339	543	1055
340	545	1053
341	546	1050
342	547	1048
343	548	1046
344	549	1044
345	552	1043
346	553	1041
347	554	1039
348	556	1037
349	557	1035
350	558	1032
351	560	1031
352	561	1029
353	562	1026
354	564	1025
355	565	1023
356	567	1022
357	569	1020
358	570	1018
359	571	1016
360	573	1014
361	574	1012
362	575	1009
363	576	1007
364	578	1005
365	579	1003
366	580	1001
367	582	999
368	583	998
369	584	995
370	586	993
371	587	991
372	589	990
373	590	988
374	591	986
375	593	984
376	594	982
377	595	980
378	597	978
379	599	977
380	600	975
381	601	973
382	603	972
383	604	970
384	606	968
385	607	966
386	608	964
387	610	962
388	611	960
389	613	960
390	615	958
391	616	956
392	617	954
393	619	952
394	620	950
395	621	948
396	623	946
397	624	944
398	625	942
399	627	940
400	629	940
401	630	938
402	632	936
403	633	934
404	635	933
405	637	932
406	638	930
407	640	929
408	641	927
409	643	926
410	645	925
411	646	923
412	648	921
413	649	919
414	650	917
415	652	915
416	653	913
417	654	911
418	656	909
419	657	908
420	660	908
421	662	907
422	663	905
423	665	903
424	666	901
425	668	900
426	669	898
427	671	897
428	673	896
429	676	896
430	678	895
431	680	894
432	681	893
433	683	891
434	685	890
435	687	889
436	689	888
437	691	887
438	693	885
439	694	884
440	696	882
441	697	880
442	699	879
443	700	877
444	702	875
445	703	873
446	706	874
447	708	873
448	710	871
449	712	870
450	714	869
451	716	868
452	717	866
453	718	864
454	721	863
455	722	862
456	724	860
457	725	858
458	726	856
459	728	854
460	729	853
461	731	851
462	732	849
463	734	847
464	735	846
465	737	845
466	738	843
467	739	841
468	741	839
469	742	837
470	743	835
471	745	833
472	746	831
473	747	829
474	749	827
475	751	826
476	753	825
477	754	824
478	756	822
479	757	820
480	758	818
481	760	817
482	761	815
483	763	814
484	765	812
485	767	811
486	769	810
487	771	809
488	773	808
489	774	806
490	776	804
491	777	803
492	779	801
493	780	799
494	783	799
495	784	797
496	786	795
497	788	795
498	790	793
499	791	791
500	793	790
501	794	788
502	795	786
503	798	785
504	800	784
505	801	782
506	803	780
507	804	779
508	805	777
509	807	775
510	808	773
511	810	772
512	811	770
513	813	769
514	815	768
515	817	766
516	818	764
517	820	763
518	821	761
519	822	759
520	824	757
521	825	756
522	828	755
523	830	754
524	831	752
525	833	750
526	834	748
527	836	747
528	837	745
529	838	743
530	840	742
531	841	740
532	843	739
533	845	737
534	846	736
535	848	734
536	849	732
537	851	731
538	852	729
539	854	727
540	855	726
541	857	724
542	859	723
543	861	721
544	862	720
545	864	718
546	865	716
547	867	715
548	868	713
549	870	711
550	871	710
551	872	708
552	875	707
553	876	705
554	877	703
555	879	702
556	881	700
557	882	699
558	884	697
559	885	695
560	887	694
561	888	692
562	890	691
563	892	689
564	893	688
565	895	686
566	896	684
567	898	683
568	899	681
569	901	679
570	902	678
571	904	676
572	906	675
573	907	673
574	909	671
575	910	670
576	911	668
577	913	666
578	914	664
579	915	663
580	917	661
581	918	659
582	920	658
583	922	657
584	923	655
585	925	653
586	926	652
587	928	650
588	929	648
589	931	647
590	932	645
591	934	643
592	936	642
593	937	641
594	939	639
595	940	637
596	942	636
597	943	634
598	945	632
599	946	631
600	948	629
601	949	627
602	951	626
603	953	625
604	954	623
605	956	621
606	957	620
607	959	618
608	960	616
609	962	615
610	963	613
611	965	611
612	967	610
613	968	609
614	970	607
615	971	605
616	973	604
617	974	602
618	976	600
619	977	599
620	979	597
621	980	596
622	982	594
623	984	593
624	985	591
625	987	590
626	989	588
627	990	586
628	992	585
629	993	583
630	995	581
631	996	580
632	998	578
633	1000	577
634	1001	575
635	1002	574
636	1004	572
637	1005	570
638	1007	569
639	1008	567
640	1010	565
641	1012	564
642	1013	562
643	1015	561
644	1016	559
645	1018	558
646	1019	556
647	1021	554
648	1022	553
649	1024	551
650	1025	549
651	1027	548
652	1029	546
653	1030	545
654	1032	543
655	1033	541
656	1034	540
657	1036	538
658	1037	537
659	1039	535
660	1040	533
661	1042	532
662	1044	530
663	1045	529
664	1047	527
665	1048	525
666	1050	524
667	1051	522
668	1053	521
669	1054	519
670	1056	517
671	1057	516
672	1059	514
673	1060	513
674	1062	511
675	1063	509
676	1065	508
677	1066	506
678	1068	505
679	1069	503
680	1071	501
681	1073	500
682	1074	498
683	1076	497
684	1077	495
685	1079	494
686	1080	492
687	1082	490
688	1083	489
689	1085	487
690	1086	485
691	1088	484
692	1090	482
693	1091	481
694	1093	479
695	1094	478
696	1096	476
697	1097	474
698	1098	473
699	1100	471
700	1101	469
701	1103	468
702	1105	466
703	1106	465
704	1108	463
705	1109	462
706	1111	460
707	1112	458
708	1113	457
709	1115	455
710	1116	453
711	1118	452
712	1120	451
713	1121	449
714	1123	447
715	1124	446
716	1126	444
717	1127	442
718	1129	441
719	1130	439
720	1132	438
721	1133	436
722	1136	435
723	1137	433
724	1139	432
725	1140	430
726	1142	428
727	1143	427
728	1145	425
729	1146	424
730	1148	422
731	1150	421
732	1151	419
733	1153	417
734	1154	416
735	1156	414
736	1157	413
737	1159	411
738	1160	409
739	1162	408
740	1163	406
741	1166	405
742	1167	403
743	1169	402
744	1170	400
745	1172	399
746	1173	397
747	1175	395
748	1176	394
749	1178	392
750	1179	391
751	1182	389
752	1183	388
753	1185	386
754	1186	385
755	1188	383
756	1189	381
757	1191	380
758	1192	378
759	1194	377
760	1195	375
761	1197	374
762	1199	372
763	1200	370
764	1202	369
765	1203	367
766	1205	366
767	1206	364
768	1207	362
769	1209	361
770	1211	359
771	1213	358
772	1214	356
773	1215	355
774	1217	353
775	1218	351
776	1220	350
777	1221	348
778	1223	347
779	1224	345
780	1226	343
781	1228	342
782	1230	340
783	1231	339
784	1233	337
785	1234	336
786	1236	334
787	1237	332
788	1239	331
789	1240	329
790	1242	328
791	1244	326
792	1246	325
793	1247	323
794	1248	322
795	1250	320
796	1251	318
797	1252	317
798	1254	315
799	1255	313
800	1256	312
801	1258	310
802	1260	309
803	1261	307
804	1262	305
805	1264	304
806	1265	302
807	1266	301
808	1268	299
809	1269	297
810	1271	296
811	1273	294
812	1274	293
813	1276	291
814	1277	290
815	1279	288
816	1280	286
817	1282	285
818	1283	283
819	1285	282
820	1286	280
821	1288	279
822	1290	277
823	1291	275
824	1293	274
825	1294	272
826	1296	271
827	1297	269
828	1299	267
829	1300	266
830	1301	264
831	1303	263
832	1305	261
833	1307	260
834	1308	258
835	1310	256
836	1311	255
837	1312	253
838	1314	252
839	1315	250
840	1317	249
841	1319	247
842	1320	245
843	1322	244
844	1323	242
845	1325	241
846	1326	239
847	1328	238
848	1329	236
849	1331	234
850	1332	233
851	1334	231
852	1336	230
853	1337	228
854	1339	227
855	1340	225
856	1341	223
857	1343	222
858	1344	220
859	1346	219
860	1347	217
861	1350	216
862	1351	214
863	1353	212
864	1354	211
865	1357	209
866	1358	208
867	1360	206
868	1362	205
869	1363	203
870	1366	202
871	1367	200
872	1369	199
873	1371	197
874	1372	196
875	1373	194
876	1375	192
877	1377	191
878	1378	189
879	1381	188
880	1382	186
881	1384	185
882	1385	183
883	1387	182
884	1388	180
885	1389	178
886	1390	177
887	1392	175
888	1393	173
889	1394	172
890	1396	170
891	1398	169
892	1399	167
893	1400	166
894	1402	164
895	1403	162
896	1404	161
897	1406	159
898	1407	158
899	1409	156
900	1410	154
901	1412	153
902	1414	151
903	1415	150
904	1417	148
905	1418	147
906	1420	145
907	1421	144
908	1423	142
909	1424	140
910	1425	139
911	1427	137
912	1429	136
913	1430	134
914	1432	133
915	1433	131
916	1434	129
917	1436	128
918	1437	126
919	1438	125
920	1440	123
921	1442	122
922	1444	120
923	1445	118
924	1447	117
925	1448	115
926	1450	114
927	1451	112
928	1453	111
929	1454	109
930	1456	107
931	1458	106
932	1460	104
933	1461	103
934	1462	101
935	1464	100
936	1465	98
937	1467	96
938	1468	95
939	1469	93
940	1471	92
941	1473	90
942	1475	89
943	1476	87
944	1478	86
945	1479	84
946	1481	82
947	1482	81
948	1483	79
949	1485	78
950	1486	76
951	1489	75
952	1490	73
953	1492	71
954	1493	70
955	1495	68
956	1496	67
957	1498	65
958	1499	64
959	1501	62
960	1502	60
961	1504	59
962	1505	57
963	1507	56
964	1508	54
965	1510	53
966	1511	51
967	1513	50
968	1514	48
969	1516	46
970	1517	45
971	1519	43
972	1521	42
973	1522	40
974	1524	39
975	1525	37
976	1527	35
977	1528	34
978	1530	32
979	1531	31
980	1533	29
981	1535	28
982	1536	26
983	1538	25
984	1539	23
985	1542	21
986	1543	20
987	1545	18
988	1546	17
989	1548	15
990	1550	14
991	1552	12
992	1553	10
993	1555	9
994	1556	7
995	1557	6
996	1559	4
997	1560	3
998	1562	1
999	1563	0
