iter	RMSE
192	5.425867535
193	5.421201278
194	5.41884541
195	5.411415208
196	5.40704789
197	5.404323584
198	5.40019873
199	5.394575831
200	5.388605217
201	5.386986704
202	5.385977862
203	5.383020909
204	5.376503877
205	5.371435847
206	5.367067775
207	5.363954962
208	5.358963822
209	5.355574006
210	5.350135922
211	5.346858274
212	5.343140274
213	5.340252433
214	5.33562271
215	5.330744468
216	5.327941505
217	5.325625525
218	5.321311939
219	5.319055419
220	5.316992063
221	5.314447902
222	5.311317948
223	5.309057752
224	5.30628999
225	5.302652604
226	5.299931028
227	5.29804782
228	5.292928905
229	5.292081107
230	5.286564945
231	5.283833447
232	5.278886637
233	5.27659115
234	5.273656445
235	5.270974556
236	5.270089252
237	5.266712962
238	5.264397656
239	5.263532571
240	5.261501055
241	5.259355356
242	5.255513801
243	5.254109698
244	5.251868771
245	5.249053031
246	5.243986161
247	5.242886958
248	5.238011873
249	5.232318362
250	5.227538871
251	5.221298021
252	5.219367135
253	5.216418353
254	5.211815178
255	5.209618566
256	5.208032075
257	5.205241133
258	5.198851685
259	5.197265761
260	5.196026978
261	5.192643336
262	5.188180336
263	5.186819498
264	5.183502444
265	5.18181568
266	5.176746181
267	5.173677765
268	5.170056228
269	5.16635734
270	5.161878924
271	5.159057977
272	5.156213392
273	5.151547552
274	5.14508547
275	5.142520628
276	5.13981431
277	5.134750357
278	5.133802882
279	5.132143285
280	5.129078875
281	5.127815946
282	5.120622143
283	5.117814852
284	5.116634509
285	5.114147121
286	5.109485406
287	5.10604871
288	5.103816788
289	5.099076334
290	5.096022529
291	5.092903315
292	5.090637284
293	5.089634152
294	5.087700178
295	5.086320047
296	5.084532749
297	5.080831183
298	5.079143722
299	5.077165924
300	5.075131497
301	5.068696418
302	5.067750437
303	5.063354575
304	5.058878485
305	5.058290844
306	5.056566816
307	5.054277522
308	5.050636061
309	5.043513558
310	5.041361073
311	5.036707043
312	5.03578708
313	5.032642177
314	5.03018796
315	5.027499217
316	5.023342983
317	5.021988215
318	5.018509656
319	5.015131881
320	5.011114255
321	5.003904905
322	5.001142796
323	5.000190441
324	4.994602
325	4.990547048
326	4.98688613
327	4.983184204
328	4.980531946
329	4.971419308
330	4.967826713
331	4.965188138
332	4.959291158
333	4.958633444
334	4.955337744
335	4.954168112
336	4.95299639
337	4.949596791
338	4.946876183
339	4.945496031
340	4.942000224
341	4.937850272
342	4.935891784
343	4.935074802
344	4.933061758
345	4.923820075
346	4.921487293
347	4.919694897
348	4.917441112
349	4.915606125
350	4.910018671
351	4.904575803
352	4.900552442
353	4.899319866
354	4.891592421
355	4.890492496
356	4.88727992
357	4.886720608
358	4.884220139
359	4.882204795
360	4.878020485
361	4.873485581
362	4.871055225
363	4.870361549
364	4.867418588
365	4.865329476
366	4.863512852
367	4.859613465
368	4.85665821
369	4.855285664
370	4.852157651
371	4.851061292
372	4.845547425
373	4.841076131
374	4.839501313
375	4.837444676
376	4.832021224
377	4.83039112
378	4.825721017
379	4.822534673
380	4.818908765
381	4.813935719
382	4.812713134
383	4.810743772
384	4.808917302
385	4.806509043
386	4.803515422
387	4.802288335
